Табельный номер,Фамилия,Пол,Год рождения,Год начала работы в компании,Подразделение,Должность,Оклад,Кол-во выполненных проектов
149,Терентьев,Мужской,1974,1999,4,IT-поддержка,39600,76
150,Иванов,Мужской,1978,2016,4,Админ сервера,32400,54
151,Терентьев,Мужской,1971,2000,4,Захвоз,42100,91
152,Терентьев,Мужской,1977,2020,4,Админ сервера,22800,8
153,Иванов,Мужской,1987,2011,4,Админ сервера,36800,38
154,Терентьева,Женский,1971,1997,4,Охраник,39500,95
155,Бебров,Мужской,1980,2003,2,Охраник,41500,95
156,Бебров,Мужской,1979,2008,5,Охраник,42800,88
157,Писюкова,Женский,1981,2018,1,IT-поддержка,24400,4
158,Иванова,Женский,1970,2014,2,IT-поддержка,35300,33
159,Иванова,Женский,1977,2005,2,Захвоз,38700,77
160,Бебров,Мужской,1983,2021,1,IT-поддержка,24800,18
161,Терентьев,Мужской,1987,2015,3,Захвоз,24800,37
162,Гоблинов,Мужской,1990,2020,3,Охраник,22800,18
163,Терентьев,Мужской,1972,2007,4,Начальник бани,40000,70
164,Писюк,Мужской,1980,2022,3,Охраник,23700,17
165,Иванов,Мужской,1990,2021,5,Захвоз,24600,6
166,Терентьев,Мужской,1970,2006,1,Начальник бани,37500,65
167,Бебров,Мужской,1973,2001,5,IT-поддержка,37200,62
168,Терентьева,Женский,1973,2013,1,Захвоз,35000,30
169,Писюкова,Женский,1977,2018,2,Начальник бани,22300,13
170,Иванова,Женский,1989,2022,2,Админ сервера,25600,26
171,Терентьев,Мужской,1970,2022,4,Админ сервера,23200,2
172,Терентьев,Мужской,1986,2009,5,IT-поддержка,35200,42
173,Гоблинова,Женский,1984,2021,5,Охраник,21600,6
174,Писюкова,Женский,1987,2020,4,Охраник,24700,7
175,Иванова,Женский,1978,2006,4,Начальник бани,39300,73
176,Гоблинов,Мужской,1980,2011,2,IT-поддержка,43800,98
177,Иванов,Мужской,1987,2017,1,IT-поддержка,36800,98
178,Иванов,Мужской,1972,2011,2,Захвоз,43500,95
179,Иванов,Мужской,1970,2007,3,Начальник бани,38600,56
180,Писюкова,Женский,1985,2022,1,Охраник,23000,10
181,Беброва,Женский,1977,2001,5,Захвоз,40300,83
182,Бебров,Мужской,1978,2009,1,Начальник бани,39800,88
183,Гоблинова,Женский,1986,2020,4,Начальник бани,21200,2
184,Терентьева,Женский,1983,2019,4,Начальник бани,25900,19
185,Гоблинова,Женский,1978,2009,5,Начальник бани,41700,87
186,Иванова,Женский,1976,2008,2,Админ сервера,40200,92
187,Терентьева,Женский,1985,2021,1,IT-поддержка,22000,20
188,Терентьев,Мужской,1981,2006,1,Админ сервера,40300,93
189,Терентьева,Женский,1978,1999,2,Захвоз,35600,56
190,Писюк,Мужской,1978,2017,4,Начальник бани,34600,56
191,Писюк,Мужской,1971,2008,4,Начальник бани,33000,30
192,Гоблинов,Мужской,1978,2021,3,Начальник бани,22000,20
193,Писюкова,Женский,1983,2017,2,Охраник,29000,20
194,Писюк,Мужской,1982,2021,2,IT-поддержка,25300,13
195,Иванов,Мужской,1989,2010,3,Охраник,33200,32
196,Беброва,Женский,1985,2022,3,Начальник бани,23200,22
197,Беброва,Женский,1988,2016,1,Начальник бани,34800,88
198,Терентьев,Мужской,1972,2018,2,Начальник бани,22700,7
199,Писюк,Мужской,1988,2017,5,Охраник,27700,7
200,Писюкова,Женский,1980,2009,1,Захвоз,37300,53
201,Терентьева,Женский,1970,2009,2,Админ сервера,41800,78
202,Терентьев,Мужской,1977,2022,3,Захвоз,24600,26
203,Терентьев,Мужской,1973,2009,5,Захвоз,35300,53
204,Беброва,Женский,1990,2018,5,IT-поддержка,24900,29
205,Писюкова,Женский,1985,2019,1,IT-поддержка,24700,17
206,Бебров,Мужской,1990,2019,2,Охраник,21100,1
207,Беброва,Женский,1973,2004,5,Охраник,38300,83
208,Гоблинова,Женский,1978,2017,4,IT-поддержка,35300,83
209,Гоблинов,Мужской,1987,2022,3,IT-поддержка,26500,25
210,Терентьев,Мужской,1988,2021,3,Админ сервера,23900,29
211,Бебров,Мужской,1983,2008,2,Захвоз,40500,85
212,Писюк,Мужской,1983,2017,3,Захвоз,33500,85
213,Писюк,Мужской,1986,2011,3,Захвоз,39800,78
214,Бебров,Мужской,1975,2022,4,Охраник,23600,26
215,Беброва,Женский,1970,2009,2,Охраник,38000,70
216,Гоблинов,Мужской,1987,2020,3,IT-поддержка,24800,28
217,Бебров,Мужской,1987,2018,1,Захвоз,26800,28
218,Иванова,Женский,1986,2012,1,Начальник бани,40000,60
219,Бебров,Мужской,1988,2011,3,IT-поддержка,40600,96
220,Гоблинов,Мужской,1982,2022,2,Админ сервера,22500,5
221,Иванов,Мужской,1988,2021,2,Захвоз,25500,15
222,Иванова,Женский,1980,2019,4,Начальник бани,23200,22
223,Иванова,Женский,1971,2012,5,Охраник,38600,66
224,Иванов,Мужской,1986,2017,2,Начальник бани,33600,66
225,Беброва,Женский,1972,2003,3,Админ сервера,36800,68
226,Бебров,Мужской,1990,2022,2,Охраник,22000,10
227,Писюк,Мужской,1983,2015,5,Начальник бани,22000,87
228,Писюк,Мужской,1973,2005,3,Охраник,40900,99
229,Иванова,Женский,1982,2012,1,Начальник бани,39400,54
230,Гоблинов,Мужской,1989,2020,1,Начальник бани,23600,26
231,Иванова,Женский,1972,2021,3,Захвоз,22600,6
232,Терентьева,Женский,1986,2009,5,Захвоз,40900,69
233,Иванова,Женский,1977,2007,1,Админ сервера,39000,70
234,Беброва,Женский,1979,2006,2,Админ сервера,37100,71
235,Гоблинова,Женский,1981,2012,5,Админ сервера,40000,70
236,Писюк,Мужской,1981,2017,2,IT-поддержка,35000,70
237,Писюкова,Женский,1989,2019,2,Охраник,20700,7
238,Терентьев,Мужской,1985,2019,5,Охраник,23700,17
239,Гоблинова,Женский,1972,2020,3,Админ сервера,25000,30
240,Беброва,Женский,1978,2013,2,IT-поддержка,41100,91
241,Беброва,Женский,1989,2021,5,IT-поддержка,22300,13
242,Беброва,Женский,1978,2022,1,Админ сервера,25400,14
243,Гоблинова,Женский,1990,2021,5,Начальник бани,22400,4
244,Писюк,Мужской,1970,2018,4,IT-поддержка,22600,26
245,Гоблинов,Мужской,1987,2010,5,Админ сервера,39100,81
246,Иванова,Женский,1978,2016,5,Охраник,33000,60
247,Иванова,Женский,1972,1993,1,Охраник,34300,43
248,Терентьев,Мужской,1971,2009,2,IT-поддержка,36600,46
249,Беброва,Женский,1977,2006,2,Охраник,36700,47
250,Иванова,Женский,1981,2020,2,Захвоз,21600,16
251,Бебров,Мужской,1974,2019,1,Охраник,23000,30
252,Беброва,Женский,1976,2013,5,Админ сервера,39800,98
253,Иванова,Женский,1989,2018,4,Начальник бани,24500,15
254,Беброва,Женский,1975,2017,1,Начальник бани,27500,15
255,Иванова,Женский,1987,2012,1,Начальник бани,39100,91
256,Иванова,Женский,1981,2016,4,Охраник,30700,47
257,Беброва,Женский,1974,2015,4,Захвоз,30700,83
258,Писюкова,Женский,1989,2022,5,IT-поддержка,25000,30
259,Иванов,Мужской,1976,2012,3,IT-поддержка,37500,75
260,Иванова,Женский,1984,2009,1,Охраник,37400,44
261,Гоблинова,Женский,1984,2019,4,IT-поддержка,24400,24
262,Иванов,Мужской,1974,2019,3,IT-поддержка,24300,23
263,Гоблинов,Мужской,1988,2011,5,Админ сервера,39400,74
264,Терентьева,Женский,1983,2016,1,IT-поддержка,34600,86
265,Терентьева,Женский,1986,2018,3,Захвоз,25600,16
266,Иванов,Мужской,1988,2020,4,IT-поддержка,21900,19
267,Писюкова,Женский,1990,2017,1,Охраник,29900,19
268,Писюкова,Женский,1981,2013,5,Захвоз,37000,50
269,Писюк,Мужской,1979,2010,2,Захвоз,43500,95
270,Гоблинов,Мужской,1978,2016,2,Админ сервера,33700,57
271,Бебров,Мужской,1974,2020,5,Захвоз,25800,28
272,Гоблинова,Женский,1975,2008,1,Захвоз,33400,34
273,Бебров,Мужской,1989,2017,5,Охраник,30400,34
274,Терентьева,Женский,1980,2002,2,Захвоз,41500,75
275,Иванова,Женский,1990,2020,1,Начальник бани,22200,12
276,Гоблинов,Мужской,1979,2010,3,Админ сервера,40900,89
277,Беброва,Женский,1971,2000,4,Охраник,34400,34
278,Иванова,Женский,1982,2003,1,IT-поддержка,38900,89
279,Иванова,Женский,1990,2015,3,Охраник,38900,90
280,Иванов,Мужской,1988,2022,3,Начальник бани,23000,10
281,Иванова,Женский,1982,2015,2,Захвоз,23000,48
282,Беброва,Женский,1981,2000,5,Админ сервера,42100,81
283,Гоблинов,Мужской,1977,2022,5,Админ сервера,21900,19
284,Терентьев,Мужской,1975,2015,3,IT-поддержка,21900,70
285,Писюк,Мужской,1981,2021,5,Охраник,25400,24
286,Терентьева,Женский,1990,2017,3,Начальник бани,29400,24
287,Гоблинов,Мужской,1981,2006,2,Охраник,40300,83
288,Писюк,Мужской,1976,2006,5,Захвоз,37800,68
289,Терентьев,Мужской,1973,2010,2,Захвоз,36300,63
290,Иванов,Мужской,1986,2021,4,IT-поддержка,22200,12
291,Писюкова,Женский,1980,2013,1,Захвоз,39700,87
292,Писюкова,Женский,1977,2014,2,Начальник бани,41200,92
293,Гоблинова,Женский,1978,2014,4,Админ сервера,36900,69
294,Гоблинова,Женский,1979,2011,2,Админ сервера,43500,95
295,Писюкова,Женский,1981,2022,5,Начальник бани,23100,11
296,Иванов,Мужской,1986,2018,5,Захвоз,23300,23
297,Иванов,Мужской,1987,2017,2,Охраник,29300,23
298,Гоблинов,Мужской,1978,2020,5,Охраник,26100,21
299,Терентьева,Женский,1978,2019,4,Админ сервера,26100,21
300,Писюк,Мужской,1981,2011,1,Захвоз,40200,92
301,Терентьев,Мужской,1972,2019,4,IT-поддержка,22900,9
302,Иванов,Мужской,1987,2015,2,IT-поддержка,22900,59
303,Иванов,Мужской,1974,2022,1,Админ сервера,21100,1
304,Иванова,Женский,1970,2017,2,Охраник,26100,1
305,Беброва,Женский,1978,2008,2,IT-поддержка,38500,45
306,Гоблинов,Мужской,1977,2009,1,Охраник,36300,33
307,Беброва,Женский,1979,2013,3,Захвоз,35300,33
308,Иванов,Мужской,1977,2001,2,Админ сервера,42700,97
309,Гоблинова,Женский,1989,2019,3,IT-поддержка,21900,19
310,Беброва,Женский,1977,2015,4,Охраник,21900,71
311,Терентьев,Мужской,1990,2020,5,Админ сервера,26800,28
312,Иванов,Мужской,1986,2007,3,Начальник бани,36500,65
313,Писюкова,Женский,1985,2016,5,IT-поддержка,30900,49
314,Терентьева,Женский,1980,2011,3,Охраник,38700,57
315,Терентьев,Мужской,1980,2014,3,Начальник бани,39600,56
316,Терентьева,Женский,1978,2007,2,Охраник,36800,58
317,Терентьева,Женский,1982,2017,1,Захвоз,34800,58
318,Гоблинов,Мужской,1975,2008,3,Охраник,40000,60
319,Бебров,Мужской,1985,2018,4,Начальник бани,24700,27
320,Беброва,Женский,1986,2021,5,Охраник,24300,23
321,Писюкова,Женский,1977,2004,2,Начальник бани,40200,92
322,Иванова,Женский,1982,2002,4,Захвоз,37500,45
323,Беброва,Женский,1975,2007,2,Охраник,35400,44
324,Беброва,Женский,1974,2006,4,Админ сервера,39100,51
325,Терентьев,Мужской,1983,2014,1,Админ сервера,37100,61
326,Писюк,Мужской,1970,2020,2,IT-поддержка,25500,25
327,Писюкова,Женский,1990,2022,1,Начальник бани,24700,27
328,Гоблинов,Мужской,1975,2007,2,IT-поддержка,37100,41
329,Иванов,Мужской,1988,2019,4,IT-поддержка,24900,29
330,Иванова,Женский,1977,2010,3,Админ сервера,43500,95
331,Беброва,Женский,1986,2020,5,Начальник бани,26800,28
332,Беброва,Женский,1986,2021,2,Админ сервера,22700,17
333,Гоблинов,Мужской,1987,2011,3,Админ сервера,38900,69
334,Гоблинов,Мужской,1990,2020,5,Охраник,21600,6
335,Терентьев,Мужской,1986,2011,1,Начальник бани,39700,77
336,Писюк,Мужской,1977,2004,2,Охраник,38800,78
337,Терентьева,Женский,1978,2002,5,Охраник,37600,76
338,Гоблинов,Мужской,1990,2012,3,Захвоз,37800,48
339,Беброва,Женский,1988,2022,5,Захвоз,20500,5
340,Гоблинов,Мужской,1970,1996,2,Охраник,42500,85
341,Бебров,Мужской,1981,2020,5,Захвоз,25000,30
342,Гоблинов,Мужской,1982,2015,2,Начальник бани,25000,96
343,Иванов,Мужской,1978,1999,2,Начальник бани,42200,92
344,Гоблинов,Мужской,1974,1997,3,IT-поддержка,37200,62
345,Терентьев,Мужской,1977,2006,5,IT-поддержка,44000,100
346,Терентьев,Мужской,1976,2013,2,IT-поддержка,37100,51
347,Терентьев,Мужской,1986,2009,1,IT-поддержка,41600,96
348,Беброва,Женский,1979,2006,3,Охраник,36300,53
349,Терентьев,Мужской,1980,2013,4,IT-поддержка,37000,50
350,Писюк,Мужской,1984,2017,5,Захвоз,32000,50
351,Терентьева,Женский,1981,2017,2,IT-поддержка,31000,50
352,Бебров,Мужской,1983,2019,5,Захвоз,21700,17
353,Терентьев,Мужской,1972,2019,4,Админ сервера,23100,1
354,Беброва,Женский,1973,2011,1,Начальник бани,41000,100
355,Иванов,Мужской,1985,2015,1,Начальник бани,41000,50
356,Терентьев,Мужской,1980,2021,2,Админ сервера,23000,20
357,Терентьева,Женский,1983,2006,1,Захвоз,38300,73
358,Писюкова,Женский,1974,2005,3,IT-поддержка,40700,77
359,Иванов,Мужской,1975,2017,5,Охраник,33700,77
360,Гоблинова,Женский,1982,2013,5,Начальник бани,41900,79
361,Терентьева,Женский,1973,2004,3,IT-поддержка,40000,70
362,Гоблинова,Женский,1987,2010,4,Начальник бани,35500,55
363,Иванов,Мужской,1973,2012,2,Охраник,36600,56
364,Иванова,Женский,1977,2018,5,Захвоз,22100,11
365,Терентьева,Женский,1973,2016,2,Захвоз,36400,94
366,Гоблинова,Женский,1972,1999,5,Захвоз,34300,33
367,Писюк,Мужской,1979,2008,3,IT-поддержка,42100,81
368,Гоблинова,Женский,1971,2011,2,Охраник,35400,54
369,Гоблинова,Женский,1988,2012,4,Админ сервера,37500,45
370,Писюк,Мужской,1985,2009,2,Начальник бани,44000,100
371,Терентьев,Мужской,1972,2010,2,Захвоз,37200,32
372,Беброва,Женский,1974,2008,3,Захвоз,35400,54
373,Иванов,Мужской,1978,2005,4,Охраник,35000,40
374,Гоблинов,Мужской,1983,2014,2,IT-поддержка,37300,43
375,Гоблинова,Женский,1982,2017,5,Захвоз,32300,43
376,Бебров,Мужской,1980,2016,1,IT-поддержка,29000,40
377,Гоблинова,Женский,1989,2021,5,Охраник,26100,21
378,Бебров,Мужской,1978,2012,5,Начальник бани,35300,43
379,Терентьева,Женский,1984,2013,1,Захвоз,40600,86
380,Терентьев,Мужской,1972,2002,3,Захвоз,34400,44
381,Бебров,Мужской,1970,2019,1,Захвоз,25000,10
382,Гоблинова,Женский,1990,2021,3,IT-поддержка,24800,18
383,Иванова,Женский,1981,2010,1,Захвоз,40100,81
384,Терентьев,Мужской,1982,2019,2,Админ сервера,24900,9
385,Терентьев,Мужской,1978,2012,1,IT-поддержка,39200,92
386,Иванова,Женский,1988,2014,1,Охраник,38900,79
387,Терентьев,Мужской,1985,2022,4,Захвоз,23900,29
388,Гоблинов,Мужской,1988,2012,4,Начальник бани,40000,70
389,Иванов,Мужской,1985,2015,3,Захвоз,40000,98
390,Гоблинов,Мужской,1986,2010,2,Захвоз,40900,99
391,Терентьев,Мужской,1978,2002,5,Админ сервера,39000,70
392,Иванова,Женский,1990,2021,2,Охраник,23400,14
393,Писюкова,Женский,1970,2018,2,Начальник бани,25700,27
394,Писюк,Мужской,1979,2021,3,IT-поддержка,26100,21
395,Беброва,Женский,1980,2002,1,Админ сервера,39600,56
396,Терентьева,Женский,1988,2016,2,Админ сервера,33600,66
397,Терентьева,Женский,1989,2020,5,IT-поддержка,22500,25
398,Иванов,Мужской,1979,2006,3,Админ сервера,38400,54
399,Гоблинова,Женский,1976,2008,1,IT-поддержка,37000,30
400,Гоблинов,Мужской,1985,2020,3,Охраник,25600,26
401,Иванов,Мужской,1986,2017,1,Админ сервера,29600,26
402,Терентьев,Мужской,1984,2009,4,IT-поддержка,35400,44
403,Терентьев,Мужской,1977,2019,3,Админ сервера,22400,4
404,Терентьев,Мужской,1989,2018,5,Начальник бани,21400,4
405,Бебров,Мужской,1971,2015,2,Админ сервера,21400,39
406,Терентьев,Мужской,1974,2003,3,Захвоз,40400,84
407,Беброва,Женский,1988,2021,3,IT-поддержка,21200,2
408,Писюк,Мужской,1971,2002,1,Захвоз,35800,58
409,Терентьев,Мужской,1988,2022,4,IT-поддержка,24000,20
410,Иванов,Мужской,1987,2020,3,Админ сервера,25600,16
411,Иванов,Мужской,1976,2020,1,Охраник,23900,29
412,Бебров,Мужской,1979,2011,5,Охраник,42200,82
413,Бебров,Мужской,1971,1997,4,IT-поддержка,38200,72
414,Иванов,Мужской,1974,2010,3,Охраник,35400,34
415,Иванова,Женский,1972,2016,2,Начальник бани,34100,71
416,Бебров,Мужской,1973,2021,5,Захвоз,22400,24
417,Гоблинов,Мужской,1975,2017,5,Начальник бани,28400,24
418,Гоблинов,Мужской,1971,2017,5,Охраник,28400,24
419,Писюкова,Женский,1971,2003,1,Админ сервера,37800,48
420,Иванова,Женский,1975,2017,1,IT-поддержка,33800,48
421,Иванов,Мужской,1982,2000,1,Админ сервера,39600,76
422,Беброва,Женский,1975,2022,2,Захвоз,21400,14
423,Беброва,Женский,1989,2019,3,IT-поддержка,25300,23
424,Иванов,Мужской,1983,2021,3,IT-поддержка,25700,27
425,Гоблинова,Женский,1986,2006,1,Захвоз,36100,51
426,Терентьев,Мужской,1986,2012,5,Охраник,40600,86
427,Гоблинов,Мужской,1972,1991,4,IT-поддержка,34700,47
428,Иванова,Женский,1971,1996,2,Охраник,37300,33
429,Иванов,Мужской,1974,2019,4,Админ сервера,21700,17
430,Писюкова,Женский,1978,2002,1,Админ сервера,41300,93
431,Иванова,Женский,1987,2015,3,Захвоз,41300,96
432,Терентьев,Мужской,1985,2011,2,Охраник,36600,36
433,Писюкова,Женский,1987,2014,5,Захвоз,39600,96
434,Бебров,Мужской,1976,2003,3,Захвоз,40600,66
435,Писюк,Мужской,1971,2008,4,Охраник,43900,99
436,Гоблинова,Женский,1974,2015,1,Охраник,43900,38
437,Бебров,Мужской,1978,2010,5,Админ сервера,37400,34
438,Гоблинов,Мужской,1989,2013,1,IT-поддержка,39400,54
439,Писюк,Мужской,1987,2017,3,Захвоз,34400,54
440,Гоблинов,Мужской,1979,2016,1,Админ сервера,32000,40
441,Иванова,Женский,1986,2015,2,IT-поддержка,32000,69
442,Иванов,Мужской,1981,2017,4,Охраник,34900,69
